Query ID,Query Type,Transaction ID,Query Date,Priority,Status,Resolution Date,Days to Resolve,Resolution Notes
Q00001,Payment Delay,HDFC2026276105,2024-05-16,Medium,Closed,2024-05-20,4,"Checked with bank, payment en route"
Q00002,FX Rate Query,HDFC2026630000,2024-11-10,Low,Resolved,2024-11-19,9,"Current rate 82.02, explained to customer"
Q00003,Compliance Check,HDFC2026706388,2024-08-15,Medium,Resolved,2024-08-24,9,"Verification completed, transaction approved"
Q00004,Compliance Check,HDFC2026867911,2024-05-22,Medium,In Progress,2024-05-23,1,"Verification completed, transaction approved"
Q00005,Payment Delay,HDFC2026900345,2024-09-26,Medium,Resolved,2024-09-27,1,"Checked with bank, payment en route"
Q00006,Document Request,HDFC2026162492,2024-02-11,Low,Resolved,2024-02-15,4,Documents provided to customer
Q00007,FX Rate Query,HDFC2026424365,2024-11-12,Low,In Progress,2024-11-14,2,"Current rate 84.82, explained to customer"
Q00008,Compliance Check,HDFC2026855064,2024-06-29,Medium,Closed,2024-07-05,6,"Verification completed, transaction approved"
Q00009,FX Rate Query,HDFC2026622469,2024-09-21,Low,Escalated,2024-09-25,4,"Current rate 82.13, explained to customer"
Q00010,Duplicate Charge,HDFC2026532352,2024-04-06,Medium,Closed,2024-04-14,8,Duplicate identified and refunded
Q00011,Missing Credit,HDFC2026234143,2024-06-24,Medium,Closed,2024-06-30,6,Amount credited to account after investigation
Q00012,Amount Discrepancy,HDFC2026225549,2024-08-27,Low,In Progress,2024-08-28,1,"Discrepancy resolved, documentation provided"
Q00013,Missing Credit,HDFC2026408857,2024-12-08,High,Resolved,2024-12-17,9,Amount credited to account after investigation
Q00014,Missing Credit,HDFC2026720597,2024-12-16,Medium,Escalated,2024-12-23,7,Amount credited to account after investigation
Q00015,FX Rate Query,HDFC2026707725,2024-10-09,Low,Pending,2024-10-10,1,"Current rate 62.81, explained to customer"
Q00016,Missing Credit,HDFC2026378927,2024-02-16,Medium,In Progress,2024-02-18,2,Amount credited to account after investigation
Q00017,Compliance Check,HDFC2026380310,2024-07-27,High,Closed,2024-07-28,1,"Verification completed, transaction approved"
Q00018,Settlement Inquiry,HDFC2026328417,2024-12-11,Low,Resolved,2024-12-20,9,"Settlement confirmed, documentation sent"
Q00019,Settlement Inquiry,HDFC2026977787,2024-01-21,Medium,Resolved,2024-01-31,10,"Settlement confirmed, documentation sent"
Q00020,Settlement Inquiry,HDFC2026126773,2024-11-09,Medium,In Progress,2024-11-12,3,"Settlement confirmed, documentation sent"
Q00021,Document Request,HDFC2026682235,2024-12-05,Low,Resolved,2024-12-11,6,Documents provided to customer
Q00022,Document Request,HDFC2026435581,2024-09-06,Low,Resolved,2024-09-07,1,Documents provided to customer
Q00023,Duplicate Charge,HDFC2026138903,2024-05-25,Medium,Resolved,2024-06-04,10,Duplicate identified and refunded
Q00024,Document Request,HDFC2026400761,2024-05-05,Low,Resolved,2024-05-10,5,Documents provided to customer
Q00025,Document Request,HDFC2026735082,2024-09-04,Low,Closed,2024-09-12,8,Documents provided to customer
Q00026,Missing Credit,HDFC2026427208,2024-01-10,Medium,Resolved,2024-01-11,1,Amount credited to account after investigation
Q00027,FX Rate Query,HDFC2026315811,2024-06-22,Low,Closed,2024-06-24,2,"Current rate 103.13, explained to customer"
Q00028,Document Request,HDFC2026584371,2024-03-19,Low,Escalated,2024-03-26,7,Documents provided to customer
Q00029,Compliance Check,HDFC2026922794,2024-02-08,High,In Progress,2024-02-11,3,"Verification completed, transaction approved"
Q00030,Document Request,HDFC2026597084,2024-12-22,Low,In Progress,2024-12-24,2,Documents provided to customer
Q00031,Missing Credit,HDFC2026836138,2024-11-04,High,Resolved,2024-11-06,2,Amount credited to account after investigation
Q00032,Duplicate Charge,HDFC2026470758,2024-11-18,Medium,Resolved,2024-11-26,8,Duplicate identified and refunded
Q00033,Payment Delay,HDFC2026892663,2024-02-27,High,In Progress,2024-02-29,2,"Checked with bank, payment en route"
Q00034,Document Request,HDFC2026479637,2024-07-08,Low,Closed,2024-07-15,7,Documents provided to customer
Q00035,FX Rate Query,HDFC2026290054,2024-08-16,Medium,Resolved,2024-08-24,8,"Current rate 106.98, explained to customer"
Q00036,Settlement Inquiry,HDFC2026565497,2024-11-21,Medium,Closed,2024-11-28,7,"Settlement confirmed, documentation sent"
Q00037,FX Rate Query,HDFC2026266258,2024-04-19,Medium,Closed,2024-04-28,9,"Current rate 22.66, explained to customer"
Q00038,FX Rate Query,HDFC2026400579,2024-01-27,Low,Closed,2024-01-30,3,"Current rate 22.46, explained to customer"
Q00039,Amount Discrepancy,HDFC2026236927,2024-08-16,Low,Closed,2024-08-18,2,"Discrepancy resolved, documentation provided"
Q00040,Missing Credit,HDFC2026222805,2024-10-26,Medium,Resolved,2024-11-01,6,Amount credited to account after investigation
